,title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
1713,Fifty Shades Darker,Uni.,114600000.0,267000000.0,2017,tt4465564,Fifty Shades Darker,Fifty Shades Darker,2017.0,118.0,"Drama,Romance"
1714,Your Name.,FUN,5000000.0,353000000.0,2017,tt5311514,Your Name.,Kimi no na wa.,2016.0,106.0,"Animation,Drama,Fantasy"
1715,Murder on the Orient Express (2017),Fox,102800000.0,250000000.0,2017,,,,,,
1716,xXx: The Return of Xander Cage,Par.,44900000.0,301200000.0,2017,,,,,,
1717,The Great Wall,Uni.,45500000.0,289400000.0,2017,tt2034800,The Great Wall,The Great Wall,2016.0,103.0,"Action,Adventure,Fantasy"
1718,The Great Wall,Uni.,45500000.0,289400000.0,2017,tt7535780,The Great Wall,The Great Wall,2017.0,72.0,Documentary
1719,Resident Evil: The Final Chapter,SGem,26800000.0,285400000.0,2017,tt2592614,Resident Evil: The Final Chapter,Resident Evil: The Final Chapter,2016.0,107.0,"Action,Horror,Sci-Fi"
1720,The LEGO Batman Movie,WB,175800000.0,136200000.0,2017,,,,,,
1721,Annabelle: Creation,WB (NL),102100000.0,204400000.0,2017,tt5140878,Annabelle: Creation,Annabelle: Creation,2017.0,109.0,"Horror,Mystery,Thriller"
1722,Wonder,LGF,132400000.0,173500000.0,2017,tt2543472,Wonder,Wonder,2017.0,113.0,"Drama,Family"
1723,Ferdinand,Fox,84400000.0,211700000.0,2017,tt3411444,Ferdinand,Ferdinand,2017.0,108.0,"Adventure,Animation,Comedy"
1724,Split,Uni.,138300000.0,140200000.0,2017,tt2660118,Split,Split,2016.0,90.0,"Comedy,Romance,Sport"
1725,Split,Uni.,138300000.0,140200000.0,2017,tt3315656,Split,Split,2016.0,127.0,"Drama,Fantasy"
1726,Split,Uni.,138300000.0,140200000.0,2017,tt4972582,Split,Split,2016.0,117.0,"Horror,Thriller"
